"Timestamp","Which year are you in?","How are you feeling right now?","On a scale of 1-100, how would you express this feeling?","Gender","Age","Your location ?","Relationship status","Are you happy with your financial state?","How much have you succeeded to cope up with the environment of your educational institution?","Understanding with your family members?","Are you feeling pressure in your study or work right now?","Are you satisfied with your academic result?","Are you happy with your living place?","Who supports you when you are not succeeding in your academic life?","Have you used any social media within the last 6 hours?","Do you have inferiority complex? ","Are you satisfied with your meal today?","Are you feeling sick/health issues today?","Have you done any recreational activity (sports, gaming, hobby etc.) today?","How long did you sleep last night?(in hours)"
"2020/12/27 12:59:28 AM GMT+6","1st year","Normal","80","Male","23","Home","In a relationship","No","4","Normal","Not applicable","Yes","Yes","Friends","Yes","Yes","Yes","No","No","9"
"2020/12/27 1:06:12 AM GMT+6","2nd year","Good","90","Male","22","Hall-Mess","Single","Yes","3","Good","No","No","Yes","Family","Yes","Maybe","No","Yes","Yes","6"
"2020/12/27 1:07:40 AM GMT+6","3rd year","Normal","50","Male","21","Home","In a relationship","No","3","Normal","Yes","Yes","No","Family","Yes","Yes","Neutral","Yes","Yes","8 "
"2020/12/27 1:09:09 AM GMT+6","4th year","Very bad"," 1","Male","23","Home","Broken Up","No","1","Bad","Yes","No","No","No one","Yes","Yes","No","Yes","No","4"
"2020/12/27 1:09:45 AM GMT+6","3rd year","Bad","20","Male","23","Home","In a relationship","No","5","Good","Yes","No","Yes","No one","Yes","Yes","No","Yes","No","11"
"2020/12/27 1:11:05 AM GMT+6","2nd year","Good","75","Male","20","Home","Single","Yes","3","Normal","Yes","Yes","Yes","Teacher","Yes","No","Yes","No","Yes","7"
"2020/12/27 1:12:33 AM GMT+6","4th year","Very good","95","Male","23","Hall-Mess","In a relationship","No","5","Good","No","Yes","Yes","Family","Yes","Maybe","Yes","No","Yes","8"
"2020/12/27 1:15:05 AM GMT+6","1st year","Bad","10","Male","21","Home","It's complicated","No","2","Good","Yes","No","No","Family","Yes","Yes","No","Yes","No","11"
"2020/12/27 1:16:19 AM GMT+6","4th year","Normal","65","Male","23","Home","In a relationship","No","3","Normal","Yes","No","No","No one","Yes","Maybe","Neutral","No","Yes","6"
"2020/12/27 1:17:53 AM GMT+6","Not applicable","Bad","25","Male","28","Hall-Mess","It's complicated","No","2","Bad","Yes","No","No","No one","Yes","Maybe","No","Yes","No","4"
"2020/12/27 1:19:42 AM GMT+6","3rd year","Normal","70","Male","23","Hall-Mess","Single","No","4","Good","No","Not applicable","Yes","Family","Yes","Maybe","Yes","No","No","7"
"2020/12/27 1:27:04 AM GMT+6","4th year","Very bad","2","Male","23","Hall-Mess","Broken Up","No","3","Normal","Yes","No","No","No one","Yes","Yes","No","Yes","No","12"
"2020/12/27 1:29:03 AM GMT+6","1st year","Normal","60","Male","21","Hall-Mess","Single","No","2","Good","Yes","No","No","Family","Yes","Yes","Neutral","No","No","7"
"2021/01/12 11:36:28 AM GMT+6","4th year","Very bad","3","Male","23","Department","Single","No","1","Bad","Yes","No","No","Friends","Yes","Yes","No","Yes","No","6"
"2021/01/12 11:38:28 AM GMT+6","4th year","Good","73","Male","23","Department","Single","Yes","3","Good","No","Yes","Yes","Friends","Yes","No","Yes","No","No","7"
"2021/01/20 12:19:26 PM GMT+6","4th year","Good","75","Male","23","Home","Single","Yes","4","Normal","No","No","Yes","Friends","Yes","No","Yes","No","No","8"
"2021/01/20 12:21:27 PM GMT+6","4th year","Bad","45","Male","23","Department","Single","Yes","1","Good","Yes","Yes","Yes","Friends","Yes","Yes","Neutral","No","Yes","3"
"2021/01/22 6:03:51 PM GMT+6","4th year","Very bad","16","Male","23","Hall-Mess","Single","No","1","Normal","Yes","No","No","Family","Yes","Yes","Yes","No","Yes","3"
"2021/01/22 6:06:55 PM GMT+6","4th year","Good","79","Male","23","Hall-Mess","Single","Yes","4","Good","No","No","Yes","Family","Yes","No","Yes","No","No","8"
"2021/01/30 11:33:48 PM GMT+6","4th year","Good","89","Male","23","Hall-Mess","Single","Yes","3","Normal","No","No","Yes","Friends","Yes","No","Yes","No","Yes","7"
"2021/01/30 11:33:50 PM GMT+6","4th year","Normal","59","Male","23","Playground","Single","Yes","3","Good","Yes","No","Yes","Friends","Yes","Maybe","Yes","Yes","No","8"
"2021/01/30 11:33:52 PM GMT+6","4th year","Good","87","Male","23","Department","Single","Yes","5","Normal","No","Yes","Yes","Family","Yes","No","Neutral","No","No","10"
"2021/01/30 11:33:54 PM GMT+6","4th year","Good","78","Male","23","Playground","Single","Yes","5","Normal","No","No","Yes","Friends","Yes","No","Yes","No","No","10"
"2021/01/30 11:33:59 PM GMT+6","4th year","Good","71","Male","23","Department","Single","Yes","5","Good","No","Yes","Yes","Family","Yes","No","Yes","No","Yes","8"
"2021/01/30 11:34:04 PM GMT+6","4th year","Normal","61","Male","23","Department","Single","Yes","4","Good","Yes","No","Yes","Family","Yes","No","Yes","No","No","8"
"2021/01/30 11:34:09 PM GMT+6","4th year","Bad","47","Male","23","Home","Single","No","3","Bad","Yes","Yes","No","Friends","Yes","No","Yes","No","Yes","3"
"2021/01/30 11:34:14 PM GMT+6","4th year","Bad","26","Male","23","Hall-Mess","Single","Yes","3","Bad","Yes","Yes","No","Family","Yes","Yes","No","Yes","No","3"
"2021/01/30 11:34:16 PM GMT+6","4th year","Very good","91","Male","23","Home","Single","Yes","3","Good","No","Yes","Yes","Family","Yes","No","Neutral","No","Yes","7"
